team_name,team_id,rank,wins,losses,ties,winning_pct,games_back,points_for,points_against,streak_direction,streak_count,streak,fptsf,games_played,points_per_game,total_points,weeks_played,recent_wins,recent_losses,recent_draws,raw_power_score,power_score,date,prev_rank,rank_change,movement,movement_class
Washington Nationals,ehzxdg4jm1v4p5l8,1,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1692.999,3.0,0.0,1692.999,1.0,3.0,0.0,0.0,4825.04715,186.83895348050748,2025-04-08,,,,
New York Mets,monh30qcm1v4p5kv,2,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1680.999,3.0,0.0,1680.999,1.0,3.0,0.0,0.0,4765.886349155268,184.5480863090025,2025-04-08,,,,
Pittsburgh Pirates,sg2jbz0hm1v4p5jg,3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1647.0,3.0,0.0,1647.0,1.0,3.0,0.0,0.0,4600.204203444919,178.13242284446486,2025-04-08,,,,
Philadelphia Phillies,jd30wae7m1v4p5kx,7,2.0,1.0,0.0,0.667,1.0,0.0,0.0,,0.0,,1645.5,3.0,0.0,1645.5,1.0,2.6666666666666665,0.3333333333333333,0.0,4422.850728278145,171.26481374839807,2025-04-08,,,,
Detroit Tigers,kt446rcmm1v4p5kl,8,2.0,1.0,0.0,0.667,1.0,0.0,0.0,,0.0,,1593.0,3.0,0.0,1593.0,1.0,2.333333333333333,0.6666666666666666,0.0,4021.235450248305,155.71317748120046,2025-04-08,,,,
Saint Louis Cardinals,b4x9xipcm1v4p5jr,4,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1451.001,3.0,0.0,1451.001,1.0,3.0,0.0,0.0,3700.853328463481,143.30711004035876,2025-04-08,,,,
New York Yankees,dmg9ghi5m1v4p5ks,9,2.0,1.0,0.0,0.667,1.0,0.0,0.0,,0.0,,1497.999,3.0,0.0,1497.999,1.0,2.0,1.0,0.0,3473.636200009899,134.50864462160877,2025-04-08,,,,
Kansas City Royals,4x4mvc6dm1v4p5l6,5,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1307.499,3.0,0.0,1307.499,1.0,3.0,0.0,0.0,3102.6724117099207,120.1439174323351,2025-04-08,,,,
Athletics,z3ky5hvtm1v4p5ki,15,1.0,2.0,0.0,0.333,2.0,0.0,0.0,,0.0,,1356.501,3.0,0.0,1356.501,1.0,1.6666666666666667,1.3333333333333333,0.0,2812.137413384809,108.89361181894334,2025-04-08,,,,
San Francisco Giants,znstv9a5m1v4p5kn,6,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1232.499,3.0,0.0,1232.499,1.0,3.0,0.0,0.0,2810.316723386019,108.82310974851563,2025-04-08,,,,
Houston Astros,7gg40es7m1v4p5kz,12,2.0,1.0,0.0,0.667,1.0,0.0,0.0,,0.0,,1320.999,3.0,0.0,1320.999,1.0,2.0,1.0,0.0,2806.022060662256,108.65680872307183,2025-04-08,,,,
Los Angeles Dodgers,tagycdjcm1v4p5k0,10,2.0,1.0,0.0,0.667,1.0,0.0,0.0,,0.0,,1314.999,3.0,0.0,1314.999,1.0,2.0,1.0,0.0,2784.598774460081,107.82724079353818,2025-04-08,,,,
San Diego Padres,wack5o0am1v4p5l4,11,2.0,1.0,0.0,0.667,1.0,0.0,0.0,,0.0,,1284.501,3.0,0.0,1284.501,1.0,2.0,1.0,0.0,2676.928538516111,103.65795631208589,2025-04-08,,,,
Chicago Cubs,lilsyvqwm1v4p5jx,16,1.0,2.0,0.0,0.333,2.0,0.0,0.0,,0.0,,1320.501,3.0,0.0,1320.501,1.0,1.3333333333333333,1.6666666666666667,0.0,2570.5541713110383,99.53885139396152,2025-04-08,,,,
Milwaukee Brewers,6de7t3h9m1v4p5kq,13,2.0,1.0,0.0,0.667,1.0,0.0,0.0,,0.0,,1218.999,3.0,0.0,1218.999,1.0,2.0,1.0,0.0,2452.596517444028,94.97121010085452,2025-04-08,,,,
Seattle Mariners,32fwt0gmm1v4p5ko,14,2.0,1.0,0.0,0.667,1.0,0.0,0.0,,0.0,,1158.501,3.0,0.0,1158.501,1.0,2.0,1.0,0.0,2253.7865939845897,87.27274894888397,2025-04-08,,,,
Atlanta Braves,wizqs8gnm1v4p5ke,18,1.0,2.0,0.0,0.333,2.0,0.0,0.0,,0.0,,1248.0,3.0,0.0,1248.0,1.0,1.0,2.0,0.0,2231.9107620728914,86.42565721820581,2025-04-08,,,,
Chicago White Sox,gsio81ctm1v4p5l1,17,1.0,2.0,0.0,0.333,2.0,0.0,0.0,,0.0,,1244.001,3.0,0.0,1244.001,1.0,1.0,2.0,0.0,2219.9711740360663,85.9633238845743,2025-04-08,,,,
Tampa Bay Rays,pwtodho1m1v4p5jo,20,1.0,2.0,0.0,0.333,2.0,0.0,0.0,,0.0,,1203.999,3.0,0.0,1203.999,1.0,1.0,2.0,0.0,2102.233451088912,81.40419891506507,2025-04-08,,,,
Los Angeles Angels,g3nhee5cm1v4p5kc,19,1.0,2.0,0.0,0.333,2.0,0.0,0.0,,0.0,,1194.0,3.0,0.0,1194.0,1.0,1.0,2.0,0.0,2073.2846075794823,80.28322093130117,2025-04-08,,,,
Cleveland Guardians,zy1884f2m1v4p5kf,26,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,0.0,,1162.5,3.0,0.0,1162.5,1.0,0.6666666666666666,2.333333333333333,0.0,1888.899739046268,73.14333715329774,2025-04-08,,,,
Miami Marlins,nmu8k3gwm1v4p5l9,21,1.0,2.0,0.0,0.333,2.0,0.0,0.0,,0.0,,1093.5,3.0,0.0,1093.5,1.0,1.0,2.0,0.0,1793.0074691475145,69.43012756222598,2025-04-08,,,,
Minnesota Twins,coh694qjm1v4p5l2,22,1.0,2.0,0.0,0.333,2.0,0.0,0.0,,0.0,,1093.5,3.0,0.0,1093.5,1.0,1.0,2.0,0.0,1793.0074691475145,69.43012756222598,2025-04-08,,,,
Boston Red Sox,jduxxziam1v4p5ka,24,1.0,2.0,0.0,0.333,2.0,0.0,0.0,,0.0,,1083.501,3.0,0.0,1083.501,1.0,1.0,2.0,0.0,1766.185345349854,68.39150195201209,2025-04-08,,,,
Baltimore Orioles,60yl9oudm1v4p5jl,25,1.0,2.0,0.0,0.333,2.0,0.0,0.0,,0.0,,1040.499,3.0,0.0,1040.499,1.0,1.0,2.0,0.0,1653.026815535959,64.00969579954352,2025-04-08,,,,
Arizona Diamondbacks,clca1u5cm1v4p5jj,23,1.0,2.0,0.0,0.333,2.0,0.0,0.0,,0.0,,1005.999,3.0,0.0,1005.999,1.0,1.0,2.0,0.0,1564.8143959669037,60.593870908326494,2025-04-08,,,,
Toronto Blue Jays,ojs3x49om1v4p5ju,27,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,0.0,,1044.999,3.0,0.0,1044.999,1.0,0.3333333333333333,2.6666666666666665,0.0,1506.1586703576909,58.32256162413327,2025-04-08,,,,
Colorado Rockies,u0uu1r4km1v4p5kj,28,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,0.0,,915.0,3.0,0.0,915.0,1.0,0.0,3.0,0.0,1151.2558652719804,44.57975940312063,2025-04-08,,,,
Texas Rangers,5gstajehm1v4p5ku,29,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,0.0,,863.001,3.0,0.0,863.001,1.0,0.0,3.0,0.0,1048.8115467654386,40.612836663352994,2025-04-08,,,,
Cincinnati Reds,snk0mmh6m1v4p5k4,30,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,0.0,,602.001,3.0,0.0,602.001,1.0,0.0,3.0,0.0,602.001,23.311116624884995,2025-04-08,,,,
Washington Nationals,ehzxdg4jm1v4p5l8,1,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1692.999,3.0,0.0,1692.999,1.0,3.0,0.0,0.0,4825.04715,186.9188317788391,2025-04-09,,,,
New York Mets,monh30qcm1v4p5kv,3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1680.999,3.0,0.0,1680.999,1.0,3.0,0.0,0.0,4765.886349155268,184.6269852046563,2025-04-09,,,,
Pittsburgh Pirates,sg2jbz0hm1v4p5jg,2,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1647.0,3.0,0.0,1647.0,1.0,3.0,0.0,0.0,4600.204203444919,178.20857888446315,2025-04-09,,,,
Philadelphia Phillies,jd30wae7m1v4p5kx,7,2.0,1.0,0.0,0.667,1.0,0.0,0.0,,0.0,,1645.5,3.0,0.0,1645.5,1.0,2.6666666666666665,0.3333333333333333,0.0,4422.850728278145,171.33803371474585,2025-04-09,,,,
Detroit Tigers,kt446rcmm1v4p5kl,8,2.0,1.0,0.0,0.667,1.0,0.0,0.0,,0.0,,1593.0,3.0,0.0,1593.0,1.0,2.333333333333333,0.6666666666666666,0.0,4021.235450248305,155.77974873635526,2025-04-09,,,,
